fips,state,state_abbr,region,year,disease,age_group,cases,rate,population
33,New Hampshire,NH,Northeast,2023,Chlamydia,20-24,1070,1256.3,85171
33,New Hampshire,NH,Northeast,2023,Chlamydia,25-29,448,526.0,85171
33,New Hampshire,NH,Northeast,2023,Gonorrhea,15-19,77,92.6,83138
33,New Hampshire,NH,Northeast,2023,Gonorrhea,20-24,138,162.0,85171
33,New Hampshire,NH,Northeast,2023,Gonorrhea,25-29,114,133.8,85171
33,New Hampshire,NH,Northeast,2023,P&S Syphilis,15-19,1,1.2,83138
33,New Hampshire,NH,Northeast,2023,P&S Syphilis,20-24,7,8.2,85171
33,New Hampshire,NH,Northeast,2023,P&S Syphilis,25-29,9,10.6,85171
34,New Jersey,NJ,Northeast,2023,Chlamydia,15-19,8267,1411.1,585855
34,New Jersey,NJ,Northeast,2023,Chlamydia,20-24,12328,2231.9,552354
34,New Jersey,NJ,Northeast,2023,Chlamydia,25-29,6708,1173.3,571721
34,New Jersey,NJ,Northeast,2023,Gonorrhea,15-19,1743,297.5,585855
34,New Jersey,NJ,Northeast,2023,Gonorrhea,20-24,2722,492.8,552354
34,New Jersey,NJ,Northeast,2023,Gonorrhea,25-29,1922,336.2,571721
34,New Jersey,NJ,Northeast,2023,P&S Syphilis,15-19,32,5.5,585855
34,New Jersey,NJ,Northeast,2023,P&S Syphilis,20-24,115,20.8,552354
34,New Jersey,NJ,Northeast,2023,P&S Syphilis,25-29,129,22.6,571721
35,New Mexico,NM,West,2023,Chlamydia,15-19,2308,1597.6,144467
35,New Mexico,NM,West,2023,Chlamydia,20-24,3593,2510.3,143130
35,New Mexico,NM,West,2023,Chlamydia,25-29,2030,1510.4,134401
35,New Mexico,NM,West,2023,Gonorrhea,15-19,372,257.5,144467
35,New Mexico,NM,West,2023,Gonorrhea,20-24,724,505.8,143130
35,New Mexico,NM,West,2023,Gonorrhea,25-29,630,468.7,134401
35,New Mexico,NM,West,2023,P&S Syphilis,15-19,23,15.9,144467
35,New Mexico,NM,West,2023,P&S Syphilis,20-24,65,45.4,143130
35,New Mexico,NM,West,2023,P&S Syphilis,25-29,147,109.4,134401
36,New York,NY,Northeast,2023,Chlamydia,15-19,22140,1847.6,1198311
36,New York,NY,Northeast,2023,Chlamydia,20-24,32144,2584.7,1243626
36,New York,NY,Northeast,2023,Chlamydia,25-29,21563,1617.8,1332859
36,New York,NY,Northeast,2023,Gonorrhea,15-19,4562,380.7,1198311
36,New York,NY,Northeast,2023,Gonorrhea,20-24,8474,681.4,1243626
36,New York,NY,Northeast,2023,Gonorrhea,25-29,9516,714.0,1332859
36,New York,NY,Northeast,2023,P&S Syphilis,15-19,96,8.0,1198311
36,New York,NY,Northeast,2023,P&S Syphilis,20-24,340,27.3,1243626
36,New York,NY,Northeast,2023,P&S Syphilis,25-29,508,38.1,1332859
